GP,WinPer,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,+/-,year
66,31.8,48.3,35.9,78.2,5.4,15,17.7,23.1,10,30.1,40.1,20.6,13,7.6,4.4,4.8,21,20.4,94.9,0.9,2011
66,54.5,48.3,38.3,83.7,9.3,25.4,20.6,25.5,10.3,30.1,40.5,21.4,13.7,7.6,5.8,4.4,21.3,20.8,106.5,0.8,2011
66,71.2,48.5,37.4,80.6,5.9,17.1,24.1,29.3,11,31.8,42.8,20.4,14.1,8,5.9,4.3,22.4,21.5,104.8,3.8,2011
66,56.1,48.4,36,78.2,9.4,25.6,17.7,25.6,10.5,32.7,43.2,20,14.9,6.7,4.7,3.8,20,21.8,99.2,5.5,2011
66,53,48.2,38.1,82.6,5.4,15.2,17.4,22.6,10.4,31.4,41.8,22.7,13,7.6,4.3,4.6,19.4,18.8,99,1.5,2011
66,50,48,39.3,83.5,8.5,22.6,18,23.6,10,30.2,40.2,23.7,14.3,6.6,4.4,4.3,20.3,21.2,105,-0.9,2011
66,42.4,48.4,36,80.5,6.3,18.3,18,22.4,12.1,27.2,39.3,21.2,13,8,4.4,4.1,19.3,21.3,96.3,1.5,2011
66,33.3,48.2,38.2,85.1,5.2,15.6,17.7,24.2,13.1,30.8,43.9,20.4,16.1,7.4,4.8,5.7,22,21,99.4,-5.3,2011
66,75.8,48.3,38.4,80.8,8.4,21.1,18.5,24.2,10.1,31.7,41.9,22.4,13.4,7.3,4.5,4.6,19,20.7,103.7,5.7,2011
66,34.8,48.4,38.3,82.4,4.2,13.3,18.2,24.1,11.7,28.6,40.3,21.9,14.7,7.1,4.3,5.6,22,19.8,99.1,-6.3,2011
66,54.5,49,37.4,80.4,5.3,15.3,19.4,25.1,11,28.5,39.5,23.4,14.3,7.7,5.9,5,22.7,22,99.4,-1.8,2011
66,30.3,48.1,37.2,84,4.8,14.4,18.2,24.4,12.4,29,41.3,19.4,15.3,8.1,6.1,5,22.6,20.3,97.3,-7.4,2011
82,53.7,48.1,38.8,82.9,6.4,17.7,17.7,23.3,11.8,29.9,41.7,21.8,12,7.2,5,4.4,19.9,19.3,101.7,4.7,2010
82,68.3,48.2,37.1,76.8,6.1,17.5,19,25.5,8.7,29.9,38.6,23.5,14.9,8.5,4.9,4.7,22.1,21.7,99.2,3.7,2010
82,41.5,48.3,34.9,76.9,5.6,16.2,20,26.6,10.5,30.4,40.8,20.2,15.7,7.7,5.4,6.1,19.5,22,95.3,1.5,2010
82,75.6,48.4,37.6,83.2,4.3,13,18,23.9,11.4,33.1,44.5,20.8,14.3,6.5,5.8,5.3,20.1,20,97.5,-1.6,2010
82,23.2,48.2,37.8,77.9,7.3,19.3,19.1,26.6,9.6,32.8,42.5,22.4,13.9,6.9,5.2,4,19.4,20.8,102.1,6.5,2010
82,69.5,48.1,38.3,82.4,6.8,18.3,18.6,22.8,10.2,31.5,41.7,23.4,12.9,7.6,5.5,4.1,19.1,20.1,102,2.7,2010
82,61,48.1,38.1,81.4,6.6,18.5,23.6,30.6,10.8,30.5,41.4,21,13.9,8.3,5.1,5.3,22.5,23.7,106.5,4.1,2010
82,36.6,48.5,35.9,80.5,4.6,14.5,17.7,24.4,12.8,27.3,40.2,19.4,13.4,7.3,3.8,4.9,22.2,20.8,94,-5.1,2010
82,43.9,48.4,40.6,86.5,7.7,20.6,19.9,25.4,9.2,29.2,38.4,22.4,14.7,9.3,4.1,5,23,21.4,108.8,-3.6,2010
82,52.4,48.5,37.7,84.4,7.9,22.4,19,24.7,11.8,30.1,42,21.8,14.5,7.1,3.9,6.5,20.9,22.4,102.4,-0.4,2010
82,45.1,48.2,36.8,83.2,8,23.1,19.1,24.6,9.6,31.9,41.5,21.1,15,7.1,5.4,5,22.5,20.8,100.8,-3,2010
82,39,48.4,36.6,80.5,5.9,17.8,16.6,22.8,11.3,30.5,41.8,22.1,15.7,6.5,5.7,4.4,19.3,19.4,95.7,-6.4,2010
82,69.5,48.4,38.3,83.8,6.5,19,18.5,24.2,11.9,32.5,44.3,21.1,13.4,7.5,4.9,4.4,19.4,21.2,101.7,4.7,2010
82,56.1,48.5,39.3,83.8,4.2,12.4,19.7,26.9,13,30.4,43.5,18.8,15.2,7.9,4.9,6.1,20.2,22.4,102.5,-1.5,2010
82,70.7,48.2,36.4,79.5,6,17.4,17.7,23.5,10.7,31.1,41.8,18.9,13.2,7.4,5.6,4.3,20.9,20,96.5,2.3,2010
82,42.7,48.4,37.2,85.3,7.9,22.1,15.4,20.4,11.8,31.2,43,21.2,13.2,7.1,4.7,5.1,22.2,20.3,97.7,1.7,2010
82,20.7,48.2,37.9,84.4,4.9,14.4,17.5,23.5,11.7,31.2,42.9,19.8,16.3,7.3,3.7,5.4,20.7,20.6,98.2,-9.6,2010
